provincia,localidad,empresa,empresabandera,producto,fecha_vigencia,precio,fecha_descarga,precio_usd,dolar_bn
BUENOS AIRES,9 DE JULIO,AUTOMOVIL CLUB ARGENTINO,BLANCA,Nafta (súper) entre 92 y 95 Ron,2025-02-01 00:01:00,1251.0,2026-03-03,0.8718,1435.0
BUENOS AIRES,9 DE JULIO,DJGM COMBUSTIBLES S.A.,SHELL C.A.P.S.A.,Gas Oil Grado 2,2026-02-19 08:00:00,1833.0,2026-03-03,1.2774,1435.0
BUENOS AIRES,9 DE JULIO,DJGM COMBUSTIBLES S.A.,SHELL C.A.P.S.A.,Gas Oil Grado 3,2026-03-03 08:00:00,2174.0,2026-03-03,1.515,1435.0
BUENOS AIRES,9 DE JULIO,DJGM COMBUSTIBLES S.A.,SHELL C.A.P.S.A.,Nafta (premium) de más de 95 Ron,2026-03-03 08:00:00,2045.0,2026-03-03,1.4251,1435.0
BUENOS AIRES,9 DE JULIO,DJGM COMBUSTIBLES S.A.,SHELL C.A.P.S.A.,Nafta (súper) entre 92 y 95 Ron,2026-02-02 08:00:00,1780.0,2026-03-03,1.2404,1435.0
BUENOS AIRES,9 DE JULIO,DJGM COMBUSTIBLES SA,SHELL C.A.P.S.A.,Gas Oil Grado 2,2026-02-19 08:00:00,1883.0,2026-03-03,1.3122,1435.0
BUENOS AIRES,9 DE JULIO,DJGM COMBUSTIBLES SA,SHELL C.A.P.S.A.,Gas Oil Grado 3,2026-03-03 08:00:00,2174.0,2026-03-03,1.515,1435.0
BUENOS AIRES,9 DE JULIO,DJGM COMBUSTIBLES SA,SHELL C.A.P.S.A.,Nafta (premium) de más de 95 Ron,2026-03-03 08:00:00,2045.0,2026-03-03,1.4251,1435.0
BUENOS AIRES,9 DE JULIO,DJGM COMBUSTIBLES SA,SHELL C.A.P.S.A.,Nafta (súper) entre 92 y 95 Ron,2026-02-02 08:00:00,1780.0,2026-03-03,1.2404,1435.0
BUENOS AIRES,9 DE JULIO,GUILLERMO  FAUSTO  MALDONADO  S.A.,BLANCA,GNC,2017-05-10 14:11:00,11.6,2026-03-03,0.0081,1435.0
BUENOS AIRES,9 DE JULIO,GUILLERMO FAUSTO MALDONADO S.A.,BLANCA,GNC,2017-06-09 11:32:00,11.6,2026-03-03,0.0081,1435.0
BUENOS AIRES,9 DE JULIO,LOGIOCO JOSE LUIS,AXION,Gas Oil Grado 2,2025-04-15 09:03:00,1490.0,2026-03-03,1.0383,1435.0
BUENOS AIRES,9 DE JULIO,LOGIOCO JOSE LUIS,AXION,Gas Oil Grado 3,2025-04-15 09:03:00,1586.0,2026-03-03,1.1052,1435.0
BUENOS AIRES,9 DE JULIO,LOGIOCO JOSE LUIS,AXION,Nafta (premium) de más de 95 Ron,2025-04-15 09:04:00,1617.0,2026-03-03,1.1268,1435.0
BUENOS AIRES,9 DE JULIO,LOGIOCO JOSE LUIS,AXION,Nafta (súper) entre 92 y 95 Ron,2025-04-15 09:03:00,1333.0,2026-03-03,0.9289,1435.0
BUENOS AIRES,9 DE JULIO,PETROGUAZZ S.A.,BLANCA,Gas Oil Grado 2,2022-08-30 12:11:00,212.7,2026-03-03,0.1482,1435.0
BUENOS AIRES,9 DE JULIO,PETROGUAZZ S.A.,BLANCA,Gas Oil Grado 3,2022-08-30 12:12:00,280.0,2026-03-03,0.1951,1435.0
BUENOS AIRES,9 DE JULIO,PETROGUAZZ S.A.,BLANCA,Nafta (premium) de más de 95 Ron,2022-04-07 16:31:00,171.2,2026-03-03,0.1193,1435.0
BUENOS AIRES,9 DE JULIO,PETROGUAZZ S.A.,BLANCA,Nafta (súper) entre 92 y 95 Ron,2022-04-07 16:31:00,141.2,2026-03-03,0.0984,1435.0
BUENOS AIRES,9 DE JULIO,PETROGUAZZ S.A.,YPF,GNC,2025-02-26 14:49:00,730.0,2026-03-03,0.5087,1435.0
BUENOS AIRES,9 DE JULIO,PETROGUAZZ S.A.,YPF,Gas Oil Grado 2,2025-06-01 00:00:00,1283.0,2026-03-03,0.8941,1435.0
BUENOS AIRES,9 DE JULIO,PETROGUAZZ S.A.,YPF,Gas Oil Grado 3,2025-06-01 00:00:00,1420.0,2026-03-03,0.9895,1435.0
BUENOS AIRES,9 DE JULIO,PETROGUAZZ S.A.,YPF,Nafta (premium) de más de 95 Ron,2025-06-01 00:00:00,1480.0,2026-03-03,1.0314,1435.0
BUENOS AIRES,9 DE JULIO,PETROGUAZZ S.A.,YPF,Nafta (súper) entre 92 y 95 Ron,2025-06-01 00:00:00,1288.0,2026-03-03,0.8976,1435.0
BUENOS AIRES,9 DE JULIO,RIVAS NUÑEZ SRL,YPF,Gas Oil Grado 2,2025-06-01 00:00:00,1283.0,2026-03-03,0.8941,1435.0
BUENOS AIRES,9 DE JULIO,RIVAS NUÑEZ SRL,YPF,Gas Oil Grado 3,2025-06-01 00:00:00,1420.0,2026-03-03,0.9895,1435.0
BUENOS AIRES,9 DE JULIO,RIVAS NUÑEZ SRL,YPF,Nafta (premium) de más de 95 Ron,2025-06-01 00:00:00,1480.0,2026-03-03,1.0314,1435.0
BUENOS AIRES,9 DE JULIO,RIVAS NUÑEZ SRL,YPF,Nafta (súper) entre 92 y 95 Ron,2025-06-01 00:00:00,1288.0,2026-03-03,0.8976,1435.0
BUENOS AIRES,ABASTO,ARGENOIL S.R.L.,DAPSA S.A.,Gas Oil Grado 2,2026-02-27 14:42:00,1720.0,2026-03-03,1.1986,1435.0
BUENOS AIRES,ABASTO,ARGENOIL S.R.L.,DAPSA S.A.,Gas Oil Grado 3,2026-02-27 14:42:00,1966.0,2026-03-03,1.37,1435.0
BUENOS AIRES,ABASTO,ARGENOIL S.R.L.,DAPSA S.A.,Nafta (premium) de más de 95 Ron,2026-02-27 14:41:00,1999.0,2026-03-03,1.393,1435.0
BUENOS AIRES,ABASTO,ARGENOIL S.R.L.,DAPSA S.A.,Nafta (súper) entre 92 y 95 Ron,2026-02-27 14:42:00,1720.0,2026-03-03,1.1986,1435.0
BUENOS AIRES,ABASTO,NAPHTAS CONHEX S.R.L,BLANCA,Gas Oil Grado 2,2026-02-02 09:32:00,1701.37,2026-03-03,1.1856,1435.0
BUENOS AIRES,ABASTO,NAPHTAS CONHEX S.R.L,BLANCA,Gas Oil Grado 3,2024-09-01 17:57:00,1420.0,2026-03-03,0.9895,1435.0
BUENOS AIRES,ABASTO,NAPHTAS CONHEX S.R.L,BLANCA,Nafta (premium) de más de 95 Ron,2024-09-01 17:58:00,1420.0,2026-03-03,0.9895,1435.0
BUENOS AIRES,ABASTO,NAPHTAS CONHEX S.R.L,BLANCA,Nafta (súper) entre 92 y 95 Ron,2026-02-02 09:33:00,1794.0,2026-03-03,1.2502,1435.0
BUENOS AIRES,ACASSUSO,ANJOR S.A.,SHELL C.A.P.S.A.,Gas Oil Grado 2,2026-03-02 22:00:00,1777.0,2026-03-03,1.2383,1435.0
BUENOS AIRES,ACASSUSO,ANJOR S.A.,SHELL C.A.P.S.A.,Gas Oil Grado 3,2026-03-02 22:00:00,2059.0,2026-03-03,1.4348,1435.0
BUENOS AIRES,ACASSUSO,ANJOR S.A.,SHELL C.A.P.S.A.,Nafta (premium) de más de 95 Ron,2026-03-02 22:00:00,2049.0,2026-03-03,1.4279,1435.0
BUENOS AIRES,ACASSUSO,ANJOR S.A.,SHELL C.A.P.S.A.,Nafta (súper) entre 92 y 95 Ron,2026-03-02 22:00:00,1743.0,2026-03-03,1.2146,1435.0
BUENOS AIRES,ACASSUSO,DEHEZA S.A.I.C.F.I,SHELL C.A.P.S.A.,Gas Oil Grado 2,2024-02-01 06:00:00,880.0,2026-03-03,0.6132,1435.0
BUENOS AIRES,ACASSUSO,DEHEZA S.A.I.C.F.I,SHELL C.A.P.S.A.,Gas Oil Grado 3,2024-02-01 06:00:00,1063.0,2026-03-03,0.7408,1435.0
BUENOS AIRES,ACASSUSO,DEHEZA S.A.I.C.F.I,SHELL C.A.P.S.A.,Nafta (premium) de más de 95 Ron,2024-02-01 06:00:00,1042.0,2026-03-03,0.7261,1435.0
BUENOS AIRES,ACASSUSO,DEHEZA S.A.I.C.F.I,SHELL C.A.P.S.A.,Nafta (súper) entre 92 y 95 Ron,2024-02-01 06:00:00,847.0,2026-03-03,0.5902,1435.0
BUENOS AIRES,ACASSUSO,DEHEZA SAICFEI,SHELL C.A.P.S.A.,Gas Oil Grado 2,2017-02-25 00:00:00,20.54,2026-03-03,0.0143,1435.0
BUENOS AIRES,ACASSUSO,DEHEZA SAICFEI,SHELL C.A.P.S.A.,Gas Oil Grado 3,2026-03-03 00:00:00,2039.0,2026-03-03,1.4209,1435.0
BUENOS AIRES,ACASSUSO,DEHEZA SAICFEI,SHELL C.A.P.S.A.,Nafta (premium) de más de 95 Ron,2026-03-03 00:00:00,2029.0,2026-03-03,1.4139,1435.0
BUENOS AIRES,ACASSUSO,DEHEZA SAICFEI,SHELL C.A.P.S.A.,Nafta (súper) entre 92 y 95 Ron,2026-03-03 00:00:00,1743.0,2026-03-03,1.2146,1435.0
BUENOS AIRES,ACEVEDO,COOPERATIVA AGRICOLA GANADERA LIMITADA DE ACEVEDO,BLANCA,Gas Oil Grado 2,2025-09-03 10:06:00,1454.0,2026-03-03,1.0132,1435.0
BUENOS AIRES,ACEVEDO,COOPERATIVA AGRICOLA GANADERA LIMITADA DE ACEVEDO,BLANCA,Gas Oil Grado 3,2025-09-03 10:06:00,1755.0,2026-03-03,1.223,1435.0
